0,1,table_caption,category
Distance,3.44 km,Average when primarily using Walking,traffic
Walking,22.11 min,Average when primarily using Walking,traffic
Waiting,2.47 min,Average when primarily using Walking,traffic
Driving Car,0.53 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,0.26 min,Average when primarily using Walking,traffic
Train/Metro Ride,3.89 min,Average when primarily using Walking,traffic
Overall,29.26 min,Average when primarily using Walking,traffic
