0,1,table_caption,category
Distance,16.45 km,Average when primarily using Train/Metro,traffic
Walking,9.36 min,Average when primarily using Train/Metro,traffic
Waiting,8.49 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,5.60 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,35.40 min,Average when primarily using Train/Metro,traffic
Overall,59.07 min,Average when primarily using Train/Metro,traffic
