Index,Unnamed: 1,table_caption,category
Traffic Index:,208.63,Traffic Indices,traffic
Time Index (in minutes):,49.82,Traffic Indices,traffic
Time Exp. Index:,6239.53,Traffic Indices,traffic
Inefficiency Index:,217.24,Traffic Indices,traffic
CO2 Emission Index:,4234.55,Traffic Indices,traffic
