0,1,table_caption,category
Distance,23.05 km,Average when primarily using Car,traffic
Walking,0.88 min,Average when primarily using Car,traffic
Driving Car,48.48 min,Average when primarily using Car,traffic
Overall,49.35 min,Average when primarily using Car,traffic
