Category,Value,table_caption,category
Price to Income Ratio:,15.26,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,804.49%,Property Investment Indices,property_investment
Loan Affordability Index:,0.12,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,18.60,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,20.21,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,5.38%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,4.95%,Property Investment Indices,property_investment
