Category,Value,table_caption,category
Price to Income Ratio:,14.35,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,127.78%,Property Investment Indices,property_investment
Loan Affordability Index:,0.78,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,18.47,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,20.67,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,5.42%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,4.84%,Property Investment Indices,property_investment
