Index,Unnamed: 1,table_caption,category
Traffic Index:,154.22,Traffic Indices,traffic
Time Index (in minutes):,37.59,Traffic Indices,traffic
Time Exp. Index:,1014.62,Traffic Indices,traffic
Inefficiency Index:,155.09,Traffic Indices,traffic
CO2 Emission Index:,5231.52,Traffic Indices,traffic
