0,1,table_caption,category
Distance,5.97 km,Average when primarily using Tram/Streetcar,traffic
Walking,4.67 min,Average when primarily using Tram/Streetcar,traffic
Waiting,11.00 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,16.00 min,Average when primarily using Tram/Streetcar,traffic
Train/Metro Ride,2.67 min,Average when primarily using Tram/Streetcar,traffic
Overall,36.33 min,Average when primarily using Tram/Streetcar,traffic
