0,1,table_caption,category
Working from Home,1.72%,Main Means of Transportation to Work or School,traffic
Walking,15.17%,Main Means of Transportation to Work or School,traffic
Car,45.86%,Main Means of Transportation to Work or School,traffic
Bicycle,2.41%,Main Means of Transportation to Work or School,traffic
Motorcycle,8.62%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,7.93%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,1.03%,Main Means of Transportation to Work or School,traffic
Train/Metro,17.24%,Main Means of Transportation to Work or School,traffic
