0,1,table_caption,category
Distance,10.47 km,Average when primarily using Bus/Trolleybus,traffic
Walking,8.74 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,12.48 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,24.91 min,Average when primarily using Bus/Trolleybus,traffic
Tram/Streetcat Ride,0.22 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,7.96 min,Average when primarily using Bus/Trolleybus,traffic
Overall,55.83 min,Average when primarily using Bus/Trolleybus,traffic
