Index,Unnamed: 1
Price to Income Ratio:,?
Mortgage as Percentage of Income:,?
Loan Affordability Index:,?
Price to Rent Ratio - City Centre:,?
Price to Rent Ratio - Outside of Centre:,?
Gross Rental Yield (City Centre):,?
Gross Rental Yield (Outside of Centre):,?
