0,1,table_caption,category
Working from Home,8.57%,Main Means of Transportation to Work or School,traffic
Walking,14.29%,Main Means of Transportation to Work or School,traffic
Car,37.14%,Main Means of Transportation to Work or School,traffic
Bicycle,11.43%,Main Means of Transportation to Work or School,traffic
Motorcycle,0.00%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,11.43%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,2.86%,Main Means of Transportation to Work or School,traffic
Train/Metro,14.29%,Main Means of Transportation to Work or School,traffic
