Index,Unnamed: 1,table_caption,category
Traffic Index:,141.62,Traffic Indices,traffic
Time Index (in minutes):,35.78,Traffic Indices,traffic
Time Exp. Index:,677.12,Traffic Indices,traffic
Inefficiency Index:,187.8,Traffic Indices,traffic
CO2 Emission Index:,4370.44,Traffic Indices,traffic
