0,1,table_caption,category
Distance,12.00 km,Average when primarily using Bus/Trolleybus,traffic
Walking,8.75 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,7.50 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,28.75 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,6.25 min,Average when primarily using Bus/Trolleybus,traffic
Overall,51.25 min,Average when primarily using Bus/Trolleybus,traffic
