0,1,table_caption,category
Distance,26.38 km,Average when primarily using Car,traffic
Walking,1.15 min,Average when primarily using Car,traffic
Driving Car,38.00 min,Average when primarily using Car,traffic
Overall,39.15 min,Average when primarily using Car,traffic
