0,1,table_caption,category
Distance,2.80 km,Average when primarily using Tram/Streetcar,traffic
Walking,5.00 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,10.00 min,Average when primarily using Tram/Streetcar,traffic
Overall,15.00 min,Average when primarily using Tram/Streetcar,traffic
