0,1,table_caption,category
Distance,16.61 km,Average when primarily using Train/Metro,traffic
Walking,6.40 min,Average when primarily using Train/Metro,traffic
Waiting,5.80 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,0.60 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,19.40 min,Average when primarily using Train/Metro,traffic
Overall,36.20 min,Average when primarily using Train/Metro,traffic
