0,1,table_caption,category
Distance,3.45 km,Average when primarily using Walking,traffic
Walking,21.19 min,Average when primarily using Walking,traffic
Waiting,2.16 min,Average when primarily using Walking,traffic
Driving Car,0.81 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,1.61 min,Average when primarily using Walking,traffic
Train/Metro Ride,1.74 min,Average when primarily using Walking,traffic
Overall,27.52 min,Average when primarily using Walking,traffic
