Index,Unnamed: 1,table_caption,category
Traffic Index:,166.62,Traffic Indices,traffic
Time Index (in minutes):,43.46,Traffic Indices,traffic
Time Exp. Index:,2810.65,Traffic Indices,traffic
Inefficiency Index:,190.28,Traffic Indices,traffic
CO2 Emission Index:,3174.96,Traffic Indices,traffic
