0,1,table_caption,category
Distance,14.60 km,Average when primarily using Train/Metro,traffic
Walking,9.68 min,Average when primarily using Train/Metro,traffic
Waiting,5.06 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,0.16 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,32.31 min,Average when primarily using Train/Metro,traffic
Overall,47.26 min,Average when primarily using Train/Metro,traffic
