0,1,table_caption,category
Distance,1.88 km,Average when primarily using Walking,traffic
Walking,14.14 min,Average when primarily using Walking,traffic
Waiting,0.52 min,Average when primarily using Walking,traffic
Driving Car,1.76 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,0.79 min,Average when primarily using Walking,traffic
Overall,17.38 min,Average when primarily using Walking,traffic
