Category,Value,table_caption,category
Price to Income Ratio:,10.30,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,73.00%,Property Investment Indices,property_investment
Loan Affordability Index:,1.37,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,26.14,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,25.56,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,3.83%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,3.91%,Property Investment Indices,property_investment
