section,sub_section,Value,price_min,price_max,table_caption,category
Rent Per Month,Apartment (1 bedroom) in City Centre,"1,256.13 €",900.00,"1,700.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (1 bedroom) Outside of Centre,938.38 €,690.00,"1,300.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,362.86 €","1,800.00","3,200.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,688.75 €","1,200.00","2,200.00",Property Investment Details Table 1,property_investment
Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"7,309.11 €","5,800.00","10,000.00",Property Investment Details Table 1,property_investment
Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"5,233.29 €","4,000.00","7,000.00",Property Investment Details Table 1,property_investment
Salaries And Financing,Average Monthly Net Salary (After Tax),"3,044.15 €",,,Property Investment Details Table 1,property_investment
Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.71,3.00,4.00,Property Investment Details Table 1,property_investment
