0,1,table_caption,category
Distance,4.75 km,Average when primarily using Tram/Streetcar,traffic
Walking,5.50 min,Average when primarily using Tram/Streetcar,traffic
Waiting,5.00 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,18.75 min,Average when primarily using Tram/Streetcar,traffic
Overall,29.25 min,Average when primarily using Tram/Streetcar,traffic
