0,1,table_caption,category
Distance,20.45 km,Average when primarily using Train/Metro,traffic
Walking,8.33 min,Average when primarily using Train/Metro,traffic
Waiting,5.73 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,3.93 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,0.67 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,24.47 min,Average when primarily using Train/Metro,traffic
Overall,44.27 min,Average when primarily using Train/Metro,traffic
