Index,Unnamed: 1,table_caption,category
Traffic Index:,73.76,Traffic Indices,traffic
Time Index (in minutes):,24.77,Traffic Indices,traffic
Time Exp. Index:,24.77,Traffic Indices,traffic
Inefficiency Index:,67.76,Traffic Indices,traffic
CO2 Emission Index:,1280.87,Traffic Indices,traffic
