0,1,table_caption,category
Distance,11.10 km,Average when primarily using Bus/Trolleybus,traffic
Walking,6.00 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,4.08 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,22.75 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,2.12 min,Average when primarily using Bus/Trolleybus,traffic
Overall,34.96 min,Average when primarily using Bus/Trolleybus,traffic
