0,1,table_caption,category
Distance,4.50 km,Average when primarily using Walking,traffic
Walking,14.52 min,Average when primarily using Walking,traffic
Waiting,1.14 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,0.48 min,Average when primarily using Walking,traffic
Tram/Streetcat Ride,0.05 min,Average when primarily using Walking,traffic
Train/Metro Ride,3.76 min,Average when primarily using Walking,traffic
Overall,19.95 min,Average when primarily using Walking,traffic
