0,1,table_caption,category
Distance,3.14 km,Average when primarily using Walking,traffic
Walking,16.60 min,Average when primarily using Walking,traffic
Driving Car,3.20 min,Average when primarily using Walking,traffic
Overall,19.80 min,Average when primarily using Walking,traffic
