Index,Unnamed: 1,table_caption,category
Traffic Index:,312.53,Traffic Indices,traffic
Time Index (in minutes):,56.81,Traffic Indices,traffic
Time Exp. Index:,12199.03,Traffic Indices,traffic
Inefficiency Index:,680.88,Traffic Indices,traffic
CO2 Emission Index:,14204.31,Traffic Indices,traffic
