0,1,table_caption,category
Distance,22.53 km,Average when primarily using Train/Metro,traffic
Walking,10.00 min,Average when primarily using Train/Metro,traffic
Waiting,2.50 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,11.00 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,33.50 min,Average when primarily using Train/Metro,traffic
Overall,57.00 min,Average when primarily using Train/Metro,traffic
