0,1,table_caption,category
Distance,13.52 km,Average when primarily using Bus/Trolleybus,traffic
Walking,6.25 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,7.50 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,40.00 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,3.75 min,Average when primarily using Bus/Trolleybus,traffic
Overall,57.50 min,Average when primarily using Bus/Trolleybus,traffic
