Index,Unnamed: 1,table_caption,category
Traffic Index:,98.24,Traffic Indices,traffic
Time Index (in minutes):,29.47,Traffic Indices,traffic
Time Exp. Index:,88.07,Traffic Indices,traffic
Inefficiency Index:,75.77,Traffic Indices,traffic
CO2 Emission Index:,2568.82,Traffic Indices,traffic
