Index,Unnamed: 1,table_caption,category
Traffic Index:,178.96,Traffic Indices,traffic
Time Index (in minutes):,42.67,Traffic Indices,traffic
Time Exp. Index:,2498.04,Traffic Indices,traffic
Inefficiency Index:,176.76,Traffic Indices,traffic
CO2 Emission Index:,5332.22,Traffic Indices,traffic
