0,1,table_caption,category
Working from Home,15.00%,Main Means of Transportation to Work or School,traffic
Walking,10.00%,Main Means of Transportation to Work or School,traffic
Car,25.00%,Main Means of Transportation to Work or School,traffic
Bicycle,20.00%,Main Means of Transportation to Work or School,traffic
Motorcycle,0.00%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,10.00%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,20.00%,Main Means of Transportation to Work or School,traffic
Train/Metro,0.00%,Main Means of Transportation to Work or School,traffic
