0,1,table_caption,category
Distance,7.00 km,Average when primarily using Tram/Streetcar,traffic
Walking,9.50 min,Average when primarily using Tram/Streetcar,traffic
Waiting,4.50 min,Average when primarily using Tram/Streetcar,traffic
Tram/Streetcat Ride,29.50 min,Average when primarily using Tram/Streetcar,traffic
Overall,43.50 min,Average when primarily using Tram/Streetcar,traffic
