0,1,table_caption,category
Distance,11.50 km,Average when primarily using Train/Metro,traffic
Walking,12.50 min,Average when primarily using Train/Metro,traffic
Waiting,10.00 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,20.00 min,Average when primarily using Train/Metro,traffic
Overall,45.00 min,Average when primarily using Train/Metro,traffic
