0,1,table_caption,category
Distance,0.75 km,Average when primarily using Walking,traffic
Walking,7.50 min,Average when primarily using Walking,traffic
Bicycle,2.50 min,Average when primarily using Walking,traffic
Overall,10.00 min,Average when primarily using Walking,traffic
