0,1,table_caption,category
Distance,17.00 km,Average when primarily using Car,traffic
Walking,1.40 min,Average when primarily using Car,traffic
Driving Car,29.00 min,Average when primarily using Car,traffic
Overall,30.40 min,Average when primarily using Car,traffic
