0,1,table_caption,category
Working from Home,5.26%,Main Means of Transportation to Work or School,traffic
Walking,10.53%,Main Means of Transportation to Work or School,traffic
Car,26.32%,Main Means of Transportation to Work or School,traffic
Bicycle,5.26%,Main Means of Transportation to Work or School,traffic
Motorcycle,21.05%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,21.05%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,0.00%,Main Means of Transportation to Work or School,traffic
Train/Metro,10.53%,Main Means of Transportation to Work or School,traffic
