0,1,table_caption,category
Distance,19.75 km,Average when primarily using Bus/Trolleybus,traffic
Walking,7.50 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,4.50 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,51.25 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,5.00 min,Average when primarily using Bus/Trolleybus,traffic
Overall,68.25 min,Average when primarily using Bus/Trolleybus,traffic
