Category,Value,table_caption,category
Price to Income Ratio:,36.38,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,255.09%,Property Investment Indices,property_investment
Loan Affordability Index:,0.39,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,59.92,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,57.69,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,1.67%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,1.73%,Property Investment Indices,property_investment
