Category,Value,table_caption,category
Price to Income Ratio:,37.32,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,262.88%,Property Investment Indices,property_investment
Loan Affordability Index:,0.38,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,70.27,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,57.88,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,1.42%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,1.73%,Property Investment Indices,property_investment
