Category,Value,table_caption,category
Price to Income Ratio:,?,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,?,Property Investment Indices,property_investment
Loan Affordability Index:,?,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,?,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,?,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,?,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,?,Property Investment Indices,property_investment
