0,1,table_caption,category
Distance,63.00 km,Average when primarily using Train/Metro,traffic
Walking,5.00 min,Average when primarily using Train/Metro,traffic
Waiting,10.00 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,50.00 min,Average when primarily using Train/Metro,traffic
Overall,80.00 min,Average when primarily using Train/Metro,traffic
