0,1,table_caption,category
Working from Home,4.76%,Main Means of Transportation to Work or School,traffic
Walking,28.57%,Main Means of Transportation to Work or School,traffic
Car,47.62%,Main Means of Transportation to Work or School,traffic
Bicycle,9.52%,Main Means of Transportation to Work or School,traffic
Motorcycle,0.00%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,4.76%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,0.00%,Main Means of Transportation to Work or School,traffic
Train/Metro,4.76%,Main Means of Transportation to Work or School,traffic
