Index,Unnamed: 1,table_caption,category
Traffic Index:,112.12,Traffic Indices,traffic
Time Index (in minutes):,30.6,Traffic Indices,traffic
Time Exp. Index:,138.69,Traffic Indices,traffic
Inefficiency Index:,137.23,Traffic Indices,traffic
CO2 Emission Index:,3366.8,Traffic Indices,traffic
