0,1,table_caption,category
Distance,8.05 km,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,10.00 min,Average when primarily using Bus/Trolleybus,traffic
Overall,10.00 min,Average when primarily using Bus/Trolleybus,traffic
