Index,Unnamed: 1,table_caption,category
Traffic Index:,116.25,Traffic Indices,traffic
Time Index (in minutes):,23.39,Traffic Indices,traffic
Time Exp. Index:,23.39,Traffic Indices,traffic
Inefficiency Index:,110.39,Traffic Indices,traffic
CO2 Emission Index:,6009.1,Traffic Indices,traffic
