Index,Unnamed: 1,table_caption,category
Traffic Index:,85.7,Traffic Indices,traffic
Time Index (in minutes):,24.71,Traffic Indices,traffic
Time Exp. Index:,24.71,Traffic Indices,traffic
Inefficiency Index:,96.43,Traffic Indices,traffic
CO2 Emission Index:,2135.14,Traffic Indices,traffic
