section,sub_section,Value,price_min,price_max,table_caption,category
Rent Per Month,Apartment (1 bedroom) in City Centre,"1,004.17ʣ",750.00,"1,245.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (1 bedroom) Outside of Centre,858.33ʣ,700.00,"1,000.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,933.33ʣ","1,500.00","2,500.00",Property Investment Details Table 1,property_investment
Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,250.00ʣ","1,200.00","2,000.00",Property Investment Details Table 1,property_investment
Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,940.00ʣ","2,500.00","4,300.00",Property Investment Details Table 1,property_investment
Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,700.00ʣ","2,700.00","2,700.00",Property Investment Details Table 1,property_investment
Salaries And Financing,Average Monthly Net Salary (After Tax),"2,176.08ʣ",,,Property Investment Details Table 1,property_investment
Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.00,5.90,6.50,Property Investment Details Table 1,property_investment
