Category,Value,table_caption,category
Price to Income Ratio:,2.18,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,19.41%,Property Investment Indices,property_investment
Loan Affordability Index:,5.15,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,7.01,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,6.88,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,14.27%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,14.53%,Property Investment Indices,property_investment
