Category,Value,table_caption,category
Price to Income Ratio:,7.63,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,65.58%,Property Investment Indices,property_investment
Loan Affordability Index:,1.52,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,17.44,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,15.77,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,5.73%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,6.34%,Property Investment Indices,property_investment
