0,1,table_caption,category
Distance,61.00 km,Average when primarily using Train/Metro,traffic
Walking,17.50 min,Average when primarily using Train/Metro,traffic
Waiting,6.00 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,66.00 min,Average when primarily using Train/Metro,traffic
Overall,89.50 min,Average when primarily using Train/Metro,traffic
