0,1,table_caption,category
Distance,9.03 km,Average when primarily using Bus/Trolleybus,traffic
Walking,4.58 min,Average when primarily using Bus/Trolleybus,traffic
Waiting,4.00 min,Average when primarily using Bus/Trolleybus,traffic
Bus/Trolleybus Ride,23.42 min,Average when primarily using Bus/Trolleybus,traffic
Train/Metro Ride,4.58 min,Average when primarily using Bus/Trolleybus,traffic
Overall,37.67 min,Average when primarily using Bus/Trolleybus,traffic
