0,1,table_caption,category
Working from Home,6.03%,Main Means of Transportation to Work or School,traffic
Walking,22.11%,Main Means of Transportation to Work or School,traffic
Car,11.06%,Main Means of Transportation to Work or School,traffic
Bicycle,24.62%,Main Means of Transportation to Work or School,traffic
Motorcycle,0.50%,Main Means of Transportation to Work or School,traffic
Bus/Trolleybus,6.03%,Main Means of Transportation to Work or School,traffic
Tram/Streetcar,2.51%,Main Means of Transportation to Work or School,traffic
Train/Metro,27.14%,Main Means of Transportation to Work or School,traffic
