0,1,table_caption,category
Distance,3.59 km,Average when primarily using Walking,traffic
Walking,22.34 min,Average when primarily using Walking,traffic
Waiting,1.05 min,Average when primarily using Walking,traffic
Driving Car,0.11 min,Average when primarily using Walking,traffic
Bicycle,0.55 min,Average when primarily using Walking,traffic
Bus/Trolleybus Ride,0.57 min,Average when primarily using Walking,traffic
Tram/Streetcat Ride,0.50 min,Average when primarily using Walking,traffic
Train/Metro Ride,2.43 min,Average when primarily using Walking,traffic
Overall,28.11 min,Average when primarily using Walking,traffic
