0,1,table_caption,category
Distance,14.81 km,Average when primarily using Train/Metro,traffic
Walking,8.54 min,Average when primarily using Train/Metro,traffic
Waiting,5.43 min,Average when primarily using Train/Metro,traffic
Bus/Trolleybus Ride,1.70 min,Average when primarily using Train/Metro,traffic
Tram/Streetcat Ride,0.65 min,Average when primarily using Train/Metro,traffic
Train/Metro Ride,29.37 min,Average when primarily using Train/Metro,traffic
Overall,45.69 min,Average when primarily using Train/Metro,traffic
