Index,Unnamed: 1,table_caption,category
Traffic Index:,122.28,Traffic Indices,traffic
Time Index (in minutes):,34.76,Traffic Indices,traffic
Time Exp. Index:,524.59,Traffic Indices,traffic
Inefficiency Index:,106.94,Traffic Indices,traffic
CO2 Emission Index:,2944.89,Traffic Indices,traffic
