0,1,table_caption,category
Distance,13.46 km,Average when primarily using Car,traffic
Walking,1.47 min,Average when primarily using Car,traffic
Driving Car,32.62 min,Average when primarily using Car,traffic
Overall,34.09 min,Average when primarily using Car,traffic
