Best Months,table_caption,category,data_type
April,Best Months To Visit Berlin,climate,list
May,Best Months To Visit Berlin,climate,list
June,Best Months To Visit Berlin,climate,list
July,Best Months To Visit Berlin,climate,list
August,Best Months To Visit Berlin,climate,list
September,Best Months To Visit Berlin,climate,list
October,Best Months To Visit Berlin,climate,list
May,Best Months To Visit Berlin,climate,list
