Category,Value,table_caption,category
Price to Income Ratio:,8.28,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,74.07%,Property Investment Indices,property_investment
Loan Affordability Index:,1.35,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,14.09,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,14.94,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,7.10%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,6.69%,Property Investment Indices,property_investment
