Category,Value,table_caption,category
Price to Income Ratio:,16.25,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,129.36%,Property Investment Indices,property_investment
Loan Affordability Index:,0.77,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,26.00,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,30.26,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,3.85%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,3.30%,Property Investment Indices,property_investment
