Category,Value,table_caption,category
Price to Income Ratio:,10.24,Property Investment Indices,property_investment
Mortgage as Percentage of Income:,73.10%,Property Investment Indices,property_investment
Loan Affordability Index:,1.37,Property Investment Indices,property_investment
Price to Rent Ratio - City Centre:,32.29,Property Investment Indices,property_investment
Price to Rent Ratio - Outside of Centre:,32.01,Property Investment Indices,property_investment
Gross Rental Yield (City Centre):,3.10%,Property Investment Indices,property_investment
Gross Rental Yield (Outside of Centre):,3.12%,Property Investment Indices,property_investment
